Accession	LineName	VanillicAcid	Dihydrokaempferol	SyringicAcid	INAUDPC	WISFinal
Ames10254	GE54	180.659696	0.082262588	26.29861132	7.1610000000000005	0.05
Ames10256	GE129	172.32454950000005	0.060724788	45.55983482	3.052	0.0
Ames12726	NC13	55.59919027	0.067955282	22.39739889	0.721	0.0
Ames12731	NC230	147.1806379	0.052086006	37.77195826	0.6509999999999999	0.0
Ames12732	NC232	291.16929310000006	0.08198090799999999	55.05538164	25.9	0.03
Ames19014	Va52	424.0489193	0.05648338400000001	37.33196369	81.907	0.05
Ames19284	C103	260.5530655	0.163791399	38.40068036	79.597	0.07
Ames19288	Oh43	91.0525193	0.290741902	42.05199127	23.611	0.0
Ames19309	A635	256.9652682	0.078623868	51.79252628	66.493	0.0
Ames19313	C123	212.4932424	0.11952413	44.18156624	91.0	0.0
Ames19319	H95	171.640617	-0.05843295	56.62086349	27.3	0.0
Ames22757	Pa405	492.6872752	0.05467089	70.60959851	58.8	0.02
Ames2336	52220	216.6970797	0.62763798	33.11043247	13.531	0.0166
Ames23389	A15	205.1900679	0.246827995	26.33196753	31.031	0.0
Ames2339	Huobai	199.8643044	0.27619493100000003	23.80240465	43.428	0.0
Ames23396	A155	123.3327302	0.072146974	35.42492365	48.076	0.0
Ames23405	A239	273.9858181	0.081705927	21.37431483	16.639	0.0
Ames23417	A305	256.0499655	0.07092688	40.0616784	79.33800000000002	0.03
Ames23421	A321	244.6097032	0.141398818	22.50994336	28.693	0.01
Ames23422	A322	219.5137186	0.063612028	25.00239834	21.07	0.01
Ames23424	A340	149.52120119999995	0.20837232	14.88332528	59.5	0.01
Ames23427	A374	122.3851826	0.070794072	27.48753024	13.363	0.01
Ames23430	A401	68.84743894	0.08513035	9.868675441	19.362	0.08
Ames23435	A427	179.5643023	0.063843208	16.69264218	113.169	0.07
Ames23451	A572	291.1238012	0.060300157	49.72608951	56.0	0.0
Ames23463	A627	73.790537	0.078559844	14.25532809	20.538	0.02
Ames23482	A649	161.06961819999995	0.189570049	23.53347043	10.318	0.0
Ames23484	A651	241.7070551	0.06208227	43.51057084	25.669	0.0
Ames23497	A673	249.7386824	0.06781318900000001	54.82937674	47.838	0.0
Ames23498	A674	177.65238730000004	0.071761666	59.34151323	10.521	0.0
Ames23503	A680	141.6644175	0.074266866	17.51482232	14.707	0.0
Ames24708	MS24A	158.8789332	0.068835012	23.78703653	32.9	0.0
Ames24710	MS67	140.8461875	0.122905051	29.57306683	31.038	0.0
Ames24713	MS72	160.0617523	0.046145463	45.72021188	49.7	0.0
Ames24727	MS106	136.8772416	0.049637611	30.14153042	2.17	0.0
Ames24729	MS116	82.92585203	0.071428652	19.77318038	29.393	0.0
Ames24730	MS132	478.4279164	0.058936030999999986	102.6292539	64.631	0.016666667
Ames24733	MS142	108.4033144	0.062461948	3.899935677	64.407	0.0
Ames24734	MS153	204.0439304	0.07192981400000001	16.25032511	41.3	0.05
Ames24746	MS221	162.5917301	0.053289185	33.56985838	32.9	0.0
Ames24747	MS222	168.2440103	0.0498991	36.08676079999999	33.831	0.01
Ames24748	MS223	100.3961211	0.124900719	21.25397594	96.838	0.05
Ames24749	MS224	203.9298981	0.050262936	49.73177486	63.231	0.05
Ames24750	MS225	169.5697259	0.077181428	22.18886021	23.59	0.0
Ames24751	MS226	314.6372536	0.383045247	57.44572156	39.2	0.02
Ames24989	Va99	126.0502308	0.061492961	13.49425034	30.618	0.043333333
Ames26745	WXB6	251.013664	0.08625004900000001	33.47391564	27.524	0.0
Ames26771	33-16	149.4076373	0.090042104	59.46381752	14.077	0.0
Ames26772	H5	180.8324369	0.383827514	11.45058388	9.142	0.0
Ames26774	H14	128.4624882	0.052768419	72.03486081	20.111	0.02
Ames26787	H49	138.1992875	0.055560094	13.36234965	5.95	0.0
Ames26804	H121	113.6949612	0.156996089	70.49246875	2.17	0.0
Ames26805	H122w	150.0304926	0.07494447	14.51533609	5.439	0.0
Ames26806	H124w	174.19272969999997	0.059119291	39.37536098	35.49	0.0
Ames27021	CH753-4	176.70085600000004	0.069420806	19.04810751	23.611	0.0
Ames27031	CM99	162.0678372	-0.041813416	26.29915907	33.859	0.025
Ames27039	CO117	223.8723461	0.132265314	35.80965981	56.462	0.03
Ames27042	CO158	157.1698888	-0.08108399	12.09496898	100.331	0.06
Ames27051	CO256	263.6427184	-0.069643247	19.54485105	38.731	0.03
Ames27052	CO257	339.3427061000001	-0.08454556099999999	89.74040082	70.0	0.04
Ames27053	CO258	469.7195813	-0.07319793	95.82141318	42.7	0.025
Ames27067	C49A	180.8382234	-0.053436616	21.02182897	37.338	0.3
Ames27069	CH701-30	174.1062531	-0.072564303	46.59565342	28.273000000000003	0.0
Ames27070	CM7	280.82532189999995	-0.053225776	19.34470343	22.631	0.01
Ames27112	F2834T	187.9976447	-0.07019935	38.77704458	21.462	0.0
Ames27114	H91	212.0707152	-0.068931189	38.2506152	24.563	0.0
Ames27121	K64	241.6998574	-0.06509332799999999	49.99727159	16.331	0.03
Ames27122	K148	180.7501637	-0.078569097	38.75224448	49.7	0.025
Ames27130	Ky21	238.3558693	-0.06980204799999999	35.8316885	31.038	0.03
Ames27133	M37W	188.5027873	0.06877489	32.05112363	44.611	0.0
Ames27137	N6	227.7460537	-0.009476243	63.30257471	35.707	0.05
Ames27155	NC318	77.55269245	-0.040527515	36.52634967	13.342	0.0
Ames27175	NC358	252.0858428	0.278560285	43.04876773	2.121	0.0
Ames27184	Pa762	143.8303864	-0.035145235	58.83660975	27.531	0.02
Ames27187	R4	210.6485592	0.279081376	14.87344015	73.962	0.03
Ames27193	Va85	313.1125185	0.074530487	43.00033962	60.669	0.03
Ames28937	Mo39	100.1855215	0.055516543	21.54422403	7.0139999999999985	0.01
