Accession,LineName,X4CGA,Apigenin,Apigenin7Oglu,CaffeicAcid,Chrysoeriol,ConiferylAldehyde,Dihydrokaempferol,Dihydroquercetin,Eriodicytol,Isoorientin,Luteolin,Naringenin,pCoumaricAcid,Phenylalanine,QuinicAcid,Rhamnosylisoorientin,SinapicAcid,SyringicAcid,Tricin,VanillicAcid,Vanillin,Vitexin,Quercetin,Apimaysin,Maysin,Kaempferol,Apigenidin,ShikimicAcid,FerulicAcid,Luteolin7Oglu,Eriodictyol7Oglu,Naringin,Syringol,Naringenin7Oglu
07FG0841,A634,4.344725024,2.638734214,0.560552061,4.25204032,1.438935558,0.200536758,0.052441889,0.015918919,-0.051245487,-0.014429652,-0.025063434,2.013684561,187.2936416,34.88388908,2.991501532,0.06665037,0.385392558,42.96994923,3.234274833,194.6112316,527.9968914,0.134726748,NA,0.01372449,0.018647959,0.132406463,0.031981293,0.096845238,6.583826531,0.015365646,0.015255102,0.115263605,0.016037415,0.633035714
17FG 1236,AS-DK(S)C3 (Cuzco × MN lines),4.230249782,-0.435774429,-1.226214584,3.044501315,-1.123248506,0.036569126,0.070453292,0.055049983,-0.091838272,-0.010410248,-0.058031037,0.346088877,166.6895915,13.75199834,4.005299486,0.071132108,0.258919713,33.78640197,-2.288072691,168.7332069,413.3048389,-0.35573146,0.00552459,0.00504918,0.07007377,0.133368852,0,0.05752459,5.325754098,0.012754098,0.010122951,0.022245902,0.080163934,0.034377049
18FG 318,Snaggletooth popcorn,125.6257547,15.10559418,6.894441469,10.66352281,56.6428611,0.494690812,0.462797756,0.51156181,NA,0.411447511,3.384317383,18.52311204,207.5240775,9.459332036,65.97298692,NA,0.125740829,31.31857973,NA,NA,733.0233903,NA,0.005636809,1.154987098,5.394060403,NA,0.059880686,0.422861837,7.108988859,0.254790268,NA,0.238520204,0.040271927,4.458849075
Ames10254,GE54,1.66243826,0.545492133,0.462936853,32.18519162,0.645204968,0.146456671,0.082262588,0.030865047,0.118323902,0.02091317,0.049580784,0.989514732,145.8191154,17.41902169,9.435946051,-0.036676058,0.782339786,26.29861132,7.794841847,180.659696,574.6486708,0.434248724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames10256,GE129,0.923804674,0.907482253,0.491215479,8.156771889,1.25032957,0.099259,0.060724788,0.035458642,0.290933655,0.017420631,0.062930218,5.317484424,138.9305211,15.95158456,17.14970513,-0.026151867,0.349657385,45.55983482,9.872324784,172.3245495,331.1068807,0.244621854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames12726,NC13,6.659184386,0.971320508,0.481926583,128.5445642,1.763618178,0.335394494,0.067955282,0.01461915,0.174610538,0.016645427,0.068128059,1.242433814,326.0324369,21.42111356,8.79225131,-0.048299746,0.466292338,22.39739889,5.424348089,55.59919027,428.1285382,0.239677872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames12729,NC222,0.262688711,0.572525631,0.481971072,26.270459,0.603223297,0.208308476,0.065336204,0.016927312,0.147037514,0.02607755,0.053751275,1.51874236,338.3865076,21.85329893,9.279584088,-0.048542556,0.488427068,42.32777741,5.881080892,251.1430557,526.826393,0.283729309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames12731,NC230,4.504380044,0.301077292,0.466778471,108.930675,0.486715535,0.294746534,0.052086006,0.028029464,0.185354611,0.01882027,0.045148476,1.347668382,339.8557088,9.334900797,9.792176416,-0.056957748,0.899508252,37.77195826,15.10818786,147.1806379,741.0938091,0.287286813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames12732,NC232,7.048536222,1.76179843,2.450008886,25.3058156,46.30092357,NA,0.081980908,0.028564107,0.149644721,0.145275177,0.074765115,1.246418349,287.1552653,18.59910749,14.7029806,0.355097202,1.464849017,55.05538164,17.50625892,291.1692931,505.2229585,0.395789037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames12734,NC236,0.466551541,0.166189597,0.465674208,15.86793485,0.443791119,0.271134686,0.086564761,0.020091222,0.09403523,0.015486298,0.051874191,0.946667985,99.68056009,16.7828446,17.48866686,-0.051002462,0.532661926,16.80431571,4.003359236,101.5851875,575.4349963,0.242968444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
